episode,total_reward,green_reward,jobs_completed,jobs_scheduled,jobs_actually_completed,makespan,avg_wait_time,consistency_issues_found,consistency_issues_fixed
1,-131.2238188868411,-9.823536576753817,69,1024,1024,0,34296.0576171875,0,0
2,-101.00818059360213,-16.283375078595345,56,1024,1024,0,20355.865234375,0,0
3,-53.84851281132718,-7.12916816628045,69,1024,1024,0,24860.6708984375,0,0
4,-66.44431696010874,-22.364871746345997,44,727,727,0,20901.826685006876,0,0
5,-49.520799931210746,-21.48697610398054,65,1024,1024,0,23294.8857421875,0,0
6,-82.8247016420104,-11.34424297772053,66,1024,1024,0,24471.48046875,0,0
7,-72.09980830874572,-14.519630995336804,66,1024,1024,0,25667.0361328125,0,0
8,-113.92982337271212,-15.180923467119136,47,745,745,0,26483.826845637584,0,0
9,-43.844718932730004,-6.299776546494422,62,1024,1024,0,23573.5751953125,0,0
10,-57.462545822815706,-14.208985341307088,64,1024,1024,0,22238.41015625,0,0
11,-52.58679465281297,-10.000067672821057,69,1024,1024,0,29397.9365234375,0,0
12,-60.5053364051745,-13.846696121141365,65,1024,1024,0,34733.21484375,0,0
13,-66.70936660952428,-17.462721247786078,58,1024,1024,0,27192.4404296875,0,0
14,-44.34800309649572,-18.046488390000338,64,1024,1024,0,26861.64453125,0,0
15,-53.75760679576069,-13.755772911974924,58,1024,1024,0,22281.669921875,0,0
16,-56.410696154487276,-18.075342093995392,62,1024,1024,0,26352.6376953125,0,0
17,-62.249772430783786,-23.902218358958006,60,1024,1024,0,34800.861328125,0,0
18,-38.91388707406136,-13.474342696232368,64,1024,1024,0,36165.1591796875,0,0
19,-37.45757565881412,-42.64887956163294,74,1024,1024,0,24930.03515625,0,0
20,-80.03987150210904,-10.135498021667946,68,1024,1024,0,25402.4345703125,0,0
