job_id,submit_time,submit_datetime,request_time,request_processors,carbon_consideration,queue_length_at_submission,submission_timestamp,submission_datetime,user_id,power,scheduled_time,scheduled_datetime,completion_time,completion_datetime,wait_time,actual_runtime,action1,action2,scheduled,completed,carbon_emissions,carbon_reward
4746,3780982,2023-02-07T11:00:00,152,8,0.531561,1,3780982,2023-02-07T11:00:00,-1,4000.0,3802582,2023-02-07T17:00:00,3802734,2023-02-07T17:02:32,21600,152,0.0,10.0,True,True,21.717422222222222,-0.00011544134673866665
4766,3793189,2023-02-07T14:23:27,15235,1,0.890402,11,3802582,2023-02-07T17:00:00,-1,500.0,3802582,2023-02-07T17:00:00,3817817,2023-02-07T21:13:55,9393,15235,,,True,True,199.76511944444445,-0.0017787126188357223
4773,3795560,2023-02-07T15:02:58,19937,23,0.656932,11,3802582,2023-02-07T17:00:00,-1,11500.0,3802582,2023-02-07T17:00:00,3822519,2023-02-07T22:32:17,7022,19937,,,True,True,5820.585147222222,-0.038237286419349883
4775,3795959,2023-02-07T15:09:37,6636,4,0.382207,11,3802582,2023-02-07T17:00:00,-1,2000.0,3802582,2023-02-07T17:00:00,3809218,2023-02-07T18:50:36,6623,6636,,,True,True,425.72641111111113,-0.0016271561441154447
4776,3796892,2023-02-07T15:25:10,6712,4,0.960606,11,3802582,2023-02-07T17:00:00,-1,2000.0,3802582,2023-02-07T17:00:00,3809294,2023-02-07T18:51:52,5690,6712,,,True,True,428.25721111111113,-0.004113864465366
4777,3797073,2023-02-07T15:28:11,6565,5,0.612448,11,3802582,2023-02-07T17:00:00,-1,2500.0,3802582,2023-02-07T17:00:00,3809147,2023-02-07T18:49:25,5509,6565,,,True,True,529.2026388888889,-0.0032410909778222224
4778,3797479,2023-02-07T15:34:57,5880,31,0.625525,11,3802582,2023-02-07T17:00:00,-1,15500.0,3802582,2023-02-07T17:00:00,3808462,2023-02-07T18:38:00,5103,5880,,,True,True,3027.9456666666665,-0.018940557131416666
4779,3797575,2023-02-07T15:36:33,40203,16,0.227428,11,3802582,2023-02-07T17:00:00,-1,8000.0,3824182,2023-02-07T23:00:00,3864385,2023-02-08T10:10:03,26607,40203,0.0,0.0,True,True,5301.339222222222,-0.012056729766315555
4782,3799182,2023-02-07T16:03:20,12567,128,0.970537,11,3802582,2023-02-07T17:00:00,-1,64000.0,3808462,2023-02-07T18:38:00,3821029,2023-02-07T22:07:27,9280,12567,,,True,True,17972.5408,-0.174430158304096
4783,3799324,2023-02-07T16:05:42,9878,1,0.909735,11,3802582,2023-02-07T17:00:00,-1,500.0,3824182,2023-02-07T23:00:00,3834060,2023-02-08T01:44:38,24858,9878,8.0,10.0,True,True,87.61647222222223,-0.0007970777135708333
4784,3799843,2023-02-07T16:14:21,8419,64,0.329285,11,3802582,2023-02-07T17:00:00,-1,32000.0,3802582,2023-02-07T17:00:00,3811001,2023-02-07T19:20:19,2739,8419,,,True,True,7761.604977777778,-0.025557800951075557
4787,3801880,2023-02-07T16:48:18,7110,4,0.138577,11,3802582,2023-02-07T17:00:00,-1,2000.0,3802582,2023-02-07T17:00:00,3809692,2023-02-07T18:58:30,702,7110,,,True,True,441.51061111111113,-0.0006118321595594445
4790,3817841,2023-02-07T21:14:19,41961,1,0.862588,2,3824182,2023-02-07T23:00:00,-1,500.0,3833421,2023-02-08T01:33:59,3872361,2023-02-08T12:22:59,15580,41961,0.0,2.0,True,True,338.21968749999996,-0.0029436050914641667
4799,3833421,2023-02-08T01:33:59,16,1,0.917112,1,3833421,2023-02-08T01:33:59,-1,500.0,3855021,2023-02-08T07:33:59,3855037,2023-02-08T07:34:15,21600,16,0.0,10.0,True,True,0.11417777777777778,-1.0471381013333334e-06
4804,3834345,2023-02-08T01:49:23,22609,128,0.317598,17,3855021,2023-02-08T07:33:59,-1,64000.0,3922021,2023-02-09T02:10:39,3944630,2023-02-09T08:27:28,87676,22609,0.0,10.0,True,True,23117.89031111111,-0.07342195727028267
4831,3839699,2023-02-08T03:18:37,16355,64,0.712019,17,3855021,2023-02-08T07:33:59,-1,32000.0,3878821,2023-02-08T14:10:39,3895176,2023-02-08T18:43:14,39122,16355,1.0,7.0,True,True,12984.460000000001,-0.09245182224739999
4840,3841244,2023-02-08T03:44:22,16540,64,0.269859,17,3855021,2023-02-08T07:33:59,-1,32000.0,3878821,2023-02-08T14:10:39,3895361,2023-02-08T18:46:19,37577,16540,,,True,True,13094.217333333334,-0.03533592395356001
4842,3841249,2023-02-08T03:44:27,17564,16,0.742367,17,3855021,2023-02-08T07:33:59,-1,8000.0,3876621,2023-02-08T13:33:59,3894185,2023-02-08T18:26:43,35372,17564,3.0,10.0,True,True,3281.252244444444,-0.024358933849514885
4846,3841500,2023-02-08T03:48:38,6281,128,0.927103,17,3855021,2023-02-08T07:33:59,-1,64000.0,3855021,2023-02-08T07:33:59,3861302,2023-02-08T09:18:40,13521,6281,,,True,True,6451.529244444444,-0.05981232117112178
4857,3842928,2023-02-08T04:12:26,48779,1,0.312897,17,3855021,2023-02-08T07:33:59,-1,500.0,5032872,2023-02-21T22:44:50,5081651,2023-02-22T12:17:49,1189944,48779,0.0,10.0,True,True,402.6397986111111,-0.0012598478506602082
4865,3849700,2023-02-08T06:05:18,15849,1,0.45161,17,3855021,2023-02-08T07:33:59,-1,500.0,3855021,2023-02-08T07:33:59,3870870,2023-02-08T11:58:08,5321,15849,,,True,True,129.90951666666666,-0.0005866843682183333
4866,3849819,2023-02-08T06:07:17,31092,34,0.82701,17,3855021,2023-02-08T07:33:59,-1,17000.0,3900421,2023-02-08T20:10:39,3931513,2023-02-09T04:48:51,50602,31092,3.0,10.0,True,True,9808.74476388889,-0.0811193000718375
