MM-DD HH:MM (UTC),2021,2022,2023,2024
01-01 00:00,87.26,119.31,53.1,123.04
01-01 01:00,81.01,106.88,60.0,118.89
01-01 02:00,81.3,116.83,73.5,120.48
01-01 03:00,86.74,137.68,71.58,117.78
01-01 04:00,98.83,143.26,68.27,117.57
01-01 05:00,103.45,139.51,66.18,123.3
01-01 06:00,103.56,145.12,70.6,129.36
01-01 07:00,105.41,139.91,66.97,134.13
01-01 08:00,106.83,147.45,65.21,134.61
01-01 09:00,115.84,112.43,68.36,134.22
01-01 10:00,113.1,160.54,64.57,132.79
01-01 11:00,110.45,183.03,63.79,135.33
01-01 12:00,109.17,200.0,69.7,136.38
01-01 13:00,111.62,208.96,67.77,147.57
01-01 14:00,114.1,256.08,66.0,158.87
01-01 15:00,122.28,252.65,68.79,151.9
01-01 16:00,124.89,239.79,67.05,162.62
01-01 17:00,122.94,212.42,67.56,169.38
01-01 18:00,123.41,165.09,65.61,157.97
01-01 19:00,124.7,122.14,68.16,149.98
01-01 20:00,122.2,100.59,64.19,146.7
01-01 21:00,120.39,98.92,62.42,150.92
01-01 22:00,115.89,89.03,61.09,141.32
01-01 23:00,103.52,82.76,69.52,144.74
01-02 00:00,96.27,83.92,80.55,152.7
01-02 01:00,94.75,88.15,84.54,155.93
01-02 02:00,90.32,105.3,116.86,151.09
01-02 03:00,90.07,115.53,108.92,156.8
01-02 04:00,95.64,121.89,139.81,156.18
01-02 05:00,114.6,130.22,120.76,146.61
01-02 06:00,120.17,126.9,82.83,151.85
01-02 07:00,131.94,120.86,77.13,148.25
01-02 08:00,128.3,121.15,91.56,150.88
01-02 09:00,120.81,115.92,117.38,140.99
01-02 10:00,116.83,114.11,97.67,124.81
01-02 11:00,117.22,117.62,107.32,105.85
01-02 12:00,114.41,134.05,123.87,97.43
01-02 13:00,116.17,137.33,119.37,93.93
01-02 14:00,127.27,130.28,129.64,96.13
01-02 15:00,129.6,119.5,140.53,96.28
01-02 16:00,129.66,112.0,140.72,87.19
01-02 17:00,118.74,104.92,115.92,83.22
01-02 18:00,125.81,97.64,77.24,89.37
01-02 19:00,121.31,98.32,80.95,90.93
01-02 20:00,127.72,100.6,80.41,90.78
01-02 21:00,131.74,102.47,73.67,89.41
01-02 22:00,119.38,111.14,75.35,81.15
01-02 23:00,98.75,122.07,70.18,67.23
01-03 00:00,105.34,137.7,70.23,68.19
01-03 01:00,102.6,149.13,70.89,68.86
01-03 02:00,106.14,157.48,72.59,68.56
01-03 03:00,105.4,138.2,77.48,69.0
01-03 04:00,116.25,115.44,79.43,69.86
01-03 05:00,125.57,112.32,74.71,70.76
01-03 06:00,123.69,106.09,74.28,82.93
01-03 07:00,116.76,111.9,82.38,91.68
01-03 08:00,120.08,116.2,92.03,80.79
01-03 09:00,119.28,115.04,99.08,79.83
01-03 10:00,114.82,90.27,98.79,82.38
01-03 11:00,116.6,79.22,97.06,92.43
01-03 12:00,117.39,78.42,121.77,103.12
01-03 13:00,118.45,75.15,97.64,103.93
01-03 14:00,115.98,71.36,113.31,106.73
01-03 15:00,108.13,88.08,127.74,117.25
01-03 16:00,110.09,95.81,99.55,120.31
01-03 17:00,108.65,96.87,113.65,108.41
01-03 18:00,114.96,97.51,118.32,105.1
01-03 19:00,115.07,91.51,152.45,115.61
01-03 20:00,123.73,92.33,174.64,88.17
01-03 21:00,120.44,62.97,169.46,68.45
01-03 22:00,131.12,61.17,148.58,82.01
01-03 23:00,145.04,59.9,127.83,91.41
01-04 00:00,140.61,60.79,113.08,91.64
01-04 01:00,144.2,53.69,106.67,87.98
01-04 02:00,142.69,54.25,97.71,86.6
01-04 03:00,152.37,52.7,92.86,90.93
01-04 04:00,136.93,72.48,86.96,91.95
01-04 05:00,127.48,93.78,83.56,100.42
01-04 06:00,123.56,105.82,82.57,107.21
01-04 07:00,173.8,116.7,84.47,103.28
01-04 08:00,158.14,110.71,83.51,129.01
01-04 09:00,132.41,116.51,88.04,125.29
01-04 10:00,137.38,120.13,85.43,135.4
01-04 11:00,134.01,105.81,91.93,147.33
01-04 12:00,135.53,100.07,95.18,171.09
01-04 13:00,138.89,111.18,94.43,174.67
01-04 14:00,140.84,117.16,98.7,197.89
01-04 15:00,135.08,119.55,102.18,238.3
01-04 16:00,139.79,109.44,98.17,259.69
01-04 17:00,131.69,104.63,92.74,280.29
01-04 18:00,131.81,122.51,90.1,277.54
01-04 19:00,127.99,113.2,92.55,265.31
01-04 20:00,132.1,107.92,94.27,280.1
01-04 21:00,123.75,88.77,94.46,242.41
01-04 22:00,125.41,77.02,92.22,198.08
01-04 23:00,133.24,53.81,89.25,218.11
01-05 00:00,133.66,51.21,77.38,222.31
01-05 01:00,132.95,46.41,75.64,213.47
01-05 02:00,133.2,50.91,73.69,203.47
01-05 03:00,126.17,54.97,74.89,197.53
01-05 04:00,128.16,48.18,82.55,190.02
01-05 05:00,126.42,63.16,87.5,195.43
01-05 06:00,137.73,130.92,77.6,199.07
01-05 07:00,148.1,131.85,55.75,202.26
01-05 08:00,136.1,126.34,58.7,200.49
01-05 09:00,115.82,122.26,57.93,192.93
01-05 10:00,119.52,119.43,57.76,182.06
01-05 11:00,128.81,119.67,60.88,175.84
01-05 12:00,128.43,122.74,69.34,169.34
01-05 13:00,123.29,127.85,66.23,169.22
01-05 14:00,122.93,150.84,67.83,165.85
01-05 15:00,126.59,169.21,89.37,171.49
01-05 16:00,116.71,179.16,163.75,170.92
01-05 17:00,116.94,148.27,183.02,165.2
01-05 18:00,118.14,114.39,117.81,172.88
01-05 19:00,123.86,88.8,98.86,177.16
01-05 20:00,123.45,74.6,91.94,175.54
01-05 21:00,112.98,69.99,86.36,168.14
01-05 22:00,97.46,70.45,109.24,151.95
01-05 23:00,129.13,47.4,89.52,158.08
01-06 00:00,139.64,40.2,86.14,163.23
01-06 01:00,140.02,42.33,71.41,161.7
01-06 02:00,132.88,40.47,75.24,163.47
01-06 03:00,131.64,40.28,67.77,160.24
01-06 04:00,126.76,41.41,71.3,164.95
01-06 05:00,110.38,55.92,70.82,168.89
01-06 06:00,122.07,74.22,65.7,174.41
01-06 07:00,127.27,113.67,57.75,179.57
01-06 08:00,131.39,125.02,54.42,188.89
01-06 09:00,118.11,153.43,49.83,187.41
01-06 10:00,125.75,183.29,53.49,185.64
01-06 11:00,125.59,200.23,55.28,191.83
01-06 12:00,126.38,187.71,64.14,187.75
01-06 13:00,133.23,205.61,63.34,189.24
01-06 14:00,136.94,197.52,64.3,191.89
01-06 15:00,159.97,145.65,60.22,199.86
01-06 16:00,171.81,143.64,58.04,205.15
01-06 17:00,159.84,149.88,57.39,209.18
01-06 18:00,141.97,155.02,51.71,204.31
01-06 19:00,129.49,161.85,53.46,203.65
01-06 20:00,135.05,169.88,58.84,218.1
01-06 21:00,124.06,177.02,58.45,220.69
01-06 22:00,123.71,173.38,60.29,215.21
01-06 23:00,139.59,148.79,60.63,197.6
01-07 00:00,127.05,103.67,61.5,188.37
01-07 01:00,124.75,86.43,66.61,185.37
01-07 02:00,127.31,93.7,67.07,188.49
01-07 03:00,122.41,91.82,67.51,196.82
01-07 04:00,100.48,108.27,65.98,203.61
01-07 05:00,109.33,135.34,64.63,220.62
01-07 06:00,140.62,156.54,64.74,240.0
01-07 07:00,159.86,193.35,66.59,254.96
01-07 08:00,164.07,184.33,66.39,254.92
01-07 09:00,169.73,178.56,62.85,239.99
01-07 10:00,196.02,148.85,60.54,216.62
01-07 11:00,203.43,150.63,61.54,200.09
01-07 12:00,203.07,154.14,63.07,181.57
01-07 13:00,199.68,158.55,61.6,153.77
01-07 14:00,215.13,159.09,61.17,145.45
01-07 15:00,299.75,165.43,58.64,198.17
01-07 16:00,266.71,171.08,57.03,179.49
01-07 17:00,234.98,167.8,54.45,176.04
