MM-DD,2021,2022,2023,2024
01-01,108.70375,153.34916666666666,66.24958333333333,139.16041666666666
01-02,115.72833333333334,113.82875,102.21583333333332,116.87458333333335
01-03,116.7325,100.00291666666668,106.41208333333333,88.99041666666666
01-04,137.48749999999998,95.35958333333333,92.96,170.85500000000002
01-05,125.27291666666667,101.20875000000001,86.3975,182.94375
01-06,133.8975,130.2675,62.08166666666667,188.86916666666664
01-07,169.6275,141.22375,67.17958333333333,184.73000000000002
01-08,151.54333333333332,112.31416666666667,56.22833333333333,221.79625
01-09,184.50583333333336,103.74791666666665,85.54916666666666,234.96708333333333
01-10,146.9925,153.34416666666667,79.01458333333333,219.21541666666667
01-11,146.20583333333335,140.63,59.748333333333335,141.06541666666666
01-12,165.96833333333333,111.71249999999999,66.23,119.53750000000001
01-13,147.01874999999998,77.46666666666667,83.80499999999999,69.55458333333333
01-14,239.19291666666666,90.69,93.72458333333333,93.79124999999999
01-15,260.98583333333335,125.36583333333333,70.79458333333334,147.20666666666668
01-16,217.32708333333335,70.59541666666667,72.88416666666667,280.6195833333333
01-17,193.39874999999998,80.37625,72.35041666666667,88.63833333333334
01-18,220.33208333333334,111.74125,103.60208333333333,109.7425
01-19,198.56041666666667,82.27166666666666,84.32958333333333,133.61916666666667
01-20,133.13666666666668,92.07416666666667,125.12708333333335,133.08208333333332
01-21,113.44791666666667,100.98791666666666,117.2325,42.69083333333333
01-22,110.27999999999999,148.14958333333334,124.8,48.893750000000004
01-23,108.23458333333333,134.22416666666666,149.70958333333334,49.85958333333334
01-24,129.7375,93.93583333333333,109.99041666666666,55.37125
01-25,215.74875,143.38541666666666,88.51791666666666,71.875
01-26,214.1783333333333,94.53666666666668,105.16041666666666,40.8425
01-27,235.08541666666667,72.42333333333333,111.21875,51.11625
01-28,234.92125,63.749583333333334,85.33166666666666,57.53583333333333
01-29,269.4291666666667,76.15541666666667,46.193333333333335,75.69791666666667
01-30,221.46041666666667,92.02625,66.02958333333333,124.08999999999999
01-31,231.82833333333335,178.44500000000002,69.04416666666667,61.041666666666664
02-01,286.335,129.15125,85.06958333333334,45.13999999999999
02-02,325.07666666666665,149.97625,94.09249999999999,57.10375
02-03,192.2775,146.30333333333334,80.19833333333334,38.288333333333334
02-04,246.8083333333333,88.24333333333334,106.36874999999999,57.6575
02-05,216.29083333333332,65.37833333333333,97.86500000000001,100.82666666666667
02-06,161.5975,90.6275,116.96416666666666,100.19583333333333
02-07,156.62958333333333,97.34541666666667,112.66458333333333,129.86166666666665
02-08,164.36833333333334,90.09583333333335,87.325,180.96541666666667
02-09,174.38833333333332,90.75333333333333,31.7625,110.32125
02-10,227.8125,123.74541666666666,61.16583333333333,72.03
02-11,286.12833333333333,133.8075,63.47833333333333,76.96791666666667
02-12,291.8308333333333,89.16375,58.143750000000004,112.0775
02-13,256.0108333333333,60.68125,69.03208333333333,81.37916666666666
02-14,237.955,86.10374999999999,93.97166666666668,129.63
02-15,212.92791666666668,70.56166666666667,99.82416666666667,107.86583333333334
02-16,247.99333333333334,76.59416666666667,91.41125,49.16166666666667
02-17,209.50208333333333,78.40958333333333,85.88416666666666,66.89
02-18,177.44541666666666,65.32541666666667,71.46833333333333,81.43916666666667
02-19,161.60541666666668,79.94041666666666,67.37083333333334,96.37541666666668
02-20,138.5225,108.34750000000001,71.29375,57.55833333333333
02-21,146.14124999999999,93.28666666666668,85.325,53.62416666666667
02-22,155.22583333333333,138.4175,98.63791666666667,58.695
02-23,128.14625,65.2975,86.94166666666666,51.00083333333333
02-24,111.21749999999999,39.33083333333334,81.43916666666667,57.28375
02-25,97.29041666666666,48.77583333333333,48.54541666666666,68.40916666666666
02-26,94.11375,74.63666666666667,50.71041666666667,97.36
02-27,128.85083333333333,68.8325,105.47375,106.81208333333332
02-28,107.10041666666666,71.66666666666667,94.43,92.01333333333334
02-29,,,,53.89125000000001
03-01,122.11625,78.93666666666667,91.75833333333333,81.11208333333333
03-02,120.47291666666666,91.41375,95.98833333333333,112.06083333333333
03-03,171.97125000000003,88.96375,67.29083333333334,84.27708333333334
03-04,173.4729166666667,101.21,66.605,64.67375
03-05,248.4225,93.97291666666666,97.95375,65.44375000000001
03-06,145.5075,86.77583333333332,218.49,84.52458333333333
03-07,157.76958333333334,86.15041666666667,105.64791666666666,93.335
03-08,290.65291666666667,119.50416666666666,112.82125,107.06625000000001
03-09,324.94875,107.91416666666667,179.11249999999998,80.32708333333333
03-10,228.53416666666666,62.8525,140.26541666666665,77.69708333333334
03-11,143.80916666666667,49.86333333333334,99.0475,71.12291666666667
03-12,149.17458333333335,49.02708333333334,102.91333333333334,116.03750000000001
03-13,151.53333333333333,54.59,76.95375,96.1025
03-14,145.94958333333332,70.18333333333334,88.55333333333333,59.48374999999999
03-15,149.7075,119.17666666666666,82.1375,67.78166666666667
03-16,155.53833333333333,108.71,99.41875,54.03333333333333
03-17,145.57500000000002,65.53416666666666,75.50125,87.9375
03-18,123.50875,89.08666666666666,99.1875,92.94041666666668
03-19,171.56416666666667,64.92833333333333,104.1225,82.21666666666667
03-20,139.29,76.17875,83.61749999999999,117.97916666666667
03-21,138.67583333333334,74.94541666666667,87.7325,94.69791666666667
03-22,113.48708333333333,111.92750000000001,62.18125,58.97708333333333
03-23,117.14583333333333,106.95291666666667,52.19291666666667,69.60875
03-24,146.89666666666668,105.08291666666666,60.35,94.91958333333334
03-25,121.38291666666667,72.87625,86.25208333333335,143.44
03-26,128.06625,83.68916666666667,85.90125,97.73458333333333
03-27,136.55625,65.38083333333334,71.53458333333333,78.44291666666668
03-28,124.37958333333334,43.07458333333333,65.73916666666666,84.34833333333334
