epoch,episode_return_mean,episode_return_median,avg_epoch_reward,avg_green_reward,avg_wait_reward,carbon_cost_mean,latency_mean,policy_loss_clipped,policy_loss_unclipped,entropy,approx_kl,clip_fraction,value_loss,explained_variance,adv_mean,adv_std
1,-2236.331561002947,-2236.331561002953,-2236.331561002953,-0.06177913168444442,-2236.2697818712677,-0.06177913168444433,-2236.269781871264,-0.034080604175105694,-0.0014187690190738066,3.2661835972964766,0.0047904500828008165,0.01183837890625,616628.2333984375,0.37274308551102875,-279.2769470214844,177.42579650878906
2,-1843.4002734262897,-1843.400273426288,-1843.400273426288,-0.17395189909458333,-1843.2263215271926,-0.17395189909458292,-1843.2263215271914,-0.03451613446231931,-0.002371895653341198,3.214423957169056,0.00490496503392933,0.034599609375,356962.87416015624,0.44075090654194354,-48.293479919433594,394.4970703125
3,-1693.1653852555316,-1693.165385255531,-1693.165385255531,-0.08223097999833337,-1693.083154275532,-0.08223097999833325,-1693.0831542755298,-0.03514403184177354,-0.0030463806533953175,3.2097651824355125,0.005586852238629945,0.03111572265625,241902.7703857422,0.540914936363697,-61.181053161621094,334.76611328125
4,-1615.912349524181,-1615.9123495241834,-1615.9123495241834,-0.21315325484680556,-1615.6991962693362,-0.21315325484680525,-1615.6991962693373,-0.0355228391464334,-0.0036506701493635775,3.187216979563236,0.006975215242418926,0.03412841796875,178206.58544921875,0.6337567012012005,-23.295785903930664,284.9041748046875
5,-1493.9922776292983,-1493.9922776293017,-1493.9922776293017,-0.25171763110111117,-1493.7405599981998,-0.2517176311011117,-1493.740559998201,-0.034686995634110644,-0.0026879905941314063,3.1999005770683286,0.0056386034245952035,0.02931396484375,163572.55778808595,0.6175957489013671,-8.203866004943848,278.3424987792969
6,-1312.5477191229447,-1312.5477191229465,-1312.5477191229465,-0.29982138236430556,-1312.2478977405833,-0.2998213823643061,-1312.2478977405842,-0.034994004974141714,-0.0034885663527529686,3.1505439253151417,0.007640500205743592,0.04123779296875,104253.25694580078,0.6661639024689794,-4.170074939727783,245.1630401611328
7,-1175.8767345958593,-1175.876734595858,-1175.876734595858,-0.49053792622041664,-1175.3861966696377,-0.4905379262204173,-1175.3861966696393,-0.03604281888809055,-0.00465465068409685,3.138816890716553,0.007739181160577573,0.04700439453125,91656.82657470703,0.6626718167215586,4.548767566680908,185.82843017578125
8,-1001.3899047151317,-1001.3899047151308,-1001.3899047151308,-0.5996832416408333,-1000.79022147349,-0.5996832416408325,-1000.790221473492,-0.03509289681096561,-0.00409659028344322,3.0996307250857353,0.0052744488071766685,0.041162109375,81566.42919921875,0.6266963862627745,13.224265098571777,192.4403533935547
9,-874.7163599683986,-874.7163599683975,-874.7163599683975,-0.6980962815270831,-874.01826368687,-0.6980962815270844,-874.0182636868702,-0.03593003899441101,-0.005210415869369172,3.0719623889029024,0.00617530271265423,0.05824462890625,58558.36296142578,0.6251317846402525,-0.32282698154449463,165.32717895507812
10,-726.6423237381682,-726.6423237381689,-726.6423237381689,-0.8409000376425001,-725.8014237005258,-0.8409000376424989,-725.8014237005262,-0.03493982434854843,-0.004753186608722899,3.018663836121559,0.005536302275431808,0.049873046875,46909.26062744141,0.6040474263578653,5.438770771026611,131.57579040527344
