epoch,avg_epoch_reward,avg_green_reward,avg_wait_reward
1,-0.2956535008629313,-0.2956535008629313,-5987.772296627899
2,-0.30533027765146026,-0.30533027765146026,-6259.621779551506
3,-0.302761169965344,-0.302761169965344,-5893.340160780752
4,-0.30777787574098714,-0.30777787574098714,-5729.189265987352
5,-0.29933526149412315,-0.29933526149412315,-5568.571386384176
6,-0.29690312084228565,-0.29690312084228565,-5316.819350328514
7,-0.2989550564316319,-0.2989550564316319,-5074.568885603618
8,-0.2792116936825461,-0.2792116936825461,-4855.231342514758
9,-0.28497886006188544,-0.28497886006188544,-4829.872407004531
10,-0.2917933046331318,-0.2917933046331318,-4727.338102888069
11,-0.29506131993302764,-0.29506131993302764,-4664.681608142323
12,-0.28914618977445034,-0.28914618977445034,-4525.533848282253
13,-0.2857409396949021,-0.2857409396949021,-4472.757943928491
14,-0.28890031474584993,-0.28890031474584993,-4573.231538360012
15,-0.28911252222173,-0.28911252222173,-4671.188813712916
16,-0.2857175247159396,-0.2857175247159396,-4681.026595072776
17,-0.2863120693907531,-0.2863120693907531,-4648.449719663595
18,-0.28603430920861855,-0.28603430920861855,-4433.74935032663
19,-0.2907865031893549,-0.2907865031893549,-4585.3207800474365
20,-0.2773266838390678,-0.2773266838390678,-4372.947463242512
21,-0.29365702901983237,-0.29365702901983237,-4285.232315333433
22,-0.27720893454520573,-0.27720893454520573,-4293.478548936387
23,-0.2869807574470092,-0.2869807574470092,-4024.097439718757
24,-0.2882375496816271,-0.2882375496816271,-4022.574833892397
25,-0.2772402145431375,-0.2772402145431375,-3776.014380263154
26,-0.28465992161088344,-0.28465992161088344,-3796.119043865443
27,-0.2776327915537311,-0.2776327915537311,-3923.2192471920907
28,-0.2844146236393741,-0.2844146236393741,-3822.201516568983
29,-0.2684274431714206,-0.2684274431714206,-3886.2085404893714
30,-0.2929061874065857,-0.2929061874065857,-3794.8332777171613
31,-0.27385081045266757,-0.27385081045266757,-3894.8251258023283
32,-0.27669704351330876,-0.27669704351330876,-3932.642764491967
33,-0.28394201789609186,-0.28394201789609186,-3812.932366066388
34,-0.27361994239748055,-0.27361994239748055,-3704.8467063506
35,-0.28892832109801786,-0.28892832109801786,-3650.669982919778
36,-0.26774557456682013,-0.26774557456682013,-3966.975719643515
37,-0.2782483026910964,-0.2782483026910964,-3855.1827448257723
38,-0.27960230897426375,-0.27960230897426375,-3760.2300639453642
39,-0.2751809836126123,-0.2751809836126123,-3749.025958981243
40,-0.2815541072121722,-0.2815541072121722,-3772.1313466451975
