epoch,avg_epoch_reward,avg_green_reward,avg_wait_reward
1,-0.22578468805024088,-0.22578468805024088,-60882.95009595358
2,-0.2287401265090447,-0.2287401265090447,-63337.40111099042
3,-0.22252753602141062,-0.22252753602141062,-64513.33185629673
4,-0.22721007621515657,-0.22721007621515657,-61579.514021926814
5,-0.21981944600577508,-0.21981944600577508,-67921.27321007516
6,-0.21641949378318542,-0.21641949378318542,-68719.4917340429
7,-0.21603777640428676,-0.21603777640428676,-65145.44878580814
8,-0.21283141821215323,-0.21283141821215323,-75641.58846600179
9,-0.2136224853689549,-0.2136224853689549,-71600.43120697638
10,-0.21768785261791848,-0.21768785261791848,-71480.60320612307
11,-0.21067036140277293,-0.21067036140277293,-72313.79509381496
12,-0.21628006937365413,-0.21628006937365413,-71044.4438741482
13,-0.21153343342587017,-0.21153343342587017,-71534.64298464938
14,-0.20702988812425577,-0.20702988812425577,-76192.39709709899
15,-0.21484798010507883,-0.21484798010507883,-76081.69557266735
16,-0.2062911172600008,-0.2062911172600008,-76923.41464801632
17,-0.2119019276112735,-0.2119019276112735,-72127.44076053181
18,-0.20989779037424508,-0.20989779037424508,-72621.84224792526
19,-0.21225479151795157,-0.21225479151795157,-67295.48281331778
20,-0.2149322881020819,-0.2149322881020819,-62901.83930683761
21,-0.2179175660298574,-0.2179175660298574,-67153.87114717724
22,-0.2152695438218539,-0.2152695438218539,-64022.13473742847
23,-0.21746020425226514,-0.21746020425226514,-64252.81047102536
24,-0.20936777509515514,-0.20936777509515514,-59378.28354578806
25,-0.21226937218138836,-0.21226937218138836,-58822.64709137123
26,-0.2038618037401024,-0.2038618037401024,-59137.08352189092
27,-0.21319876896841566,-0.21319876896841566,-60366.011693595676
28,-0.21100145243871857,-0.21100145243871857,-65340.29448548032
29,-0.20624795678311492,-0.20624795678311492,-65147.59446084462
30,-0.20905206180292224,-0.20905206180292224,-63219.373025702655
31,-0.19771064290952003,-0.19771064290952003,-65562.94269644523
32,-0.20069733845084076,-0.20069733845084076,-65212.47613279371
33,-0.20700448387964876,-0.20700448387964876,-64733.49302797644
34,-0.19895064868006254,-0.19895064868006254,-58249.24931405491
35,-0.21458893551143338,-0.21458893551143338,-58685.658859069204
36,-0.1992809899277949,-0.1992809899277949,-59049.35084231861
37,-0.20081624993704292,-0.20081624993704292,-56914.438922979265
38,-0.20303317636862164,-0.20303317636862164,-54816.17798484997
39,-0.19458718433177896,-0.19458718433177896,-55879.80816796162
40,-0.19257617836516364,-0.19257617836516364,-58953.31436703589
41,-0.19486938195094283,-0.19486938195094283,-59142.79290096914
42,-0.20222981118611993,-0.20222981118611993,-60654.86362732223
43,-0.2030235368958418,-0.2030235368958418,-58014.018648409474
44,-0.19840072085859378,-0.19840072085859378,-60529.52638776335
45,-0.19606358406530372,-0.19606358406530372,-59253.27186713648
46,-0.18898265241112772,-0.18898265241112772,-64464.85975308165
47,-0.18260397300928818,-0.18260397300928818,-67061.5384120688
48,-0.19394896336628561,-0.19394896336628561,-61005.33823098948
49,-0.18728040317398023,-0.18728040317398023,-65339.43921518592
50,-0.1828599862207416,-0.1828599862207416,-64610.887238024225
51,-0.18841615493925432,-0.18841615493925432,-65719.10413250222
52,-0.18132792625135624,-0.18132792625135624,-69001.79229761328
53,-0.18765684488511064,-0.18765684488511064,-67188.54436431342
54,-0.1878405704363389,-0.1878405704363389,-67847.79318714938
55,-0.19255939070997616,-0.19255939070997616,-70141.6728109948
56,-0.17987304335849266,-0.17987304335849266,-73623.4765937416
57,-0.19170751442019957,-0.19170751442019957,-70565.36087267542
58,-0.18868563296473212,-0.18868563296473212,-70643.35043797384
59,-0.1798983556233813,-0.1798983556233813,-74798.98571321802
60,-0.1796117362413789,-0.1796117362413789,-75428.4757556656
61,-0.18025885120812873,-0.18025885120812873,-68051.90388378431
