epoch,avg_epoch_reward,avg_green_reward,avg_wait_reward
1,-15.355456290236525,-0.23646048324434424,-30237.991613984374
2,-17.77247244319636,-0.24498952554824524,-35054.96583529623
3,-16.927011384923574,-0.2417128416735008,-33370.59708650016
4,-14.731537336737404,-0.24245945044482675,-28978.155772585185
5,-13.758400870835635,-0.24344408770844123,-27029.913566254392
6,-10.414430295290343,-0.24793482140832296,-20332.990947764032
1,-16.733795979813504,-0.25383551683965716,-32959.920925947714
1,-15.052197602896145,-0.2447769781195687,-29614.84124955317
2,-15.189736673326415,-0.26186656580601236,-29855.740215040794
3,-12.48403689508108,-0.26379355760836304,-24440.486674945434
4,-10.73537615286609,-0.25239632595955913,-20965.959653813057
5,-9.473640809599114,-0.25760015495319566,-18432.08130929184
6,-7.6990977409863195,-0.26943738531151873,-14859.320711349603
7,-5.953947388091697,-0.2659504618474013,-11375.993852488582
8,-4.813699862713332,-0.2680814332315105,-9091.236858963643
9,-3.4070782581850954,-0.2687459490200238,-6276.664618330143
10,-2.1600196355753005,-0.28452317500993374,-3750.992921130732
11,-2.2031209941917007,-0.2884117355226017,-3829.4185173381993
12,-1.6490485908322328,-0.2870818347321811,-2723.933512200104
13,-1.5685777865777115,-0.2908138666179481,-2555.5278399195263
14,-1.243748740252492,-0.2923341145718453,-1902.8292513612937
