epoch,avg_epoch_reward,avg_green_reward,avg_wait_reward
1,-12.059507592331888,-0.22480546070131194,-59173.51065815287
2,-11.828135258389104,-0.23243136862602762,-57978.5194488154
3,-10.671952238051876,-0.23240500731226033,-52197.73615369804
4,-9.319355653776977,-0.2435472775541544,-45379.041881114106
5,-7.771967824152956,-0.23090282162872688,-37705.32501262112
6,-7.496584236397124,-0.24185569874066615,-36273.64268828229
7,-6.681759321240946,-0.23848717818461215,-32216.36071528167
8,-5.853844428408561,-0.25351645091059655,-28001.63988748981
9,-5.166581502535828,-0.24810339434139092,-24592.390540972166
10,-4.49994649809849,-0.25682415301560446,-21215.611725414437
11,-4.053244380241606,-0.26541784525938505,-18939.13267491112
12,-3.7384233852677182,-0.25746532322354804,-17404.790310220855
13,-3.550036940558006,-0.25277124459809547,-16486.328479799555
14,-3.2578370009162745,-0.25916345172385413,-14993.367745962101
15,-3.030672038494535,-0.2640980922392498,-13832.869731276422
16,-2.8526947445476427,-0.25474168665685754,-12989.76528945392
17,-2.3884592119444674,-0.26047455669461533,-10639.923276249261
18,-2.2364205718405676,-0.2689181864535427,-9837.51192693513
19,-1.9893927314459117,-0.2651102282704937,-8621.412515877088
20,-1.8281320800529306,-0.2667922389939576,-7806.699205294865
21,-1.6751187521378648,-0.27375809021484604,-7006.803309615091
22,-1.497839786050419,-0.2722517310906238,-6127.940274798972
23,-1.4001031198646334,-0.2825167046302613,-5587.932076171864
24,-1.3201788105360301,-0.2788288204786724,-5206.749950286786
25,-1.161340909483906,-0.2752135325880384,-4430.636884479337
26,-1.102247910572183,-0.2675048935120013,-4173.715085300909
27,-1.0243175915724907,-0.2791309085390467,-3725.9334151672188
28,-0.984214804709781,-0.2820215722004109,-3510.96616254685
29,-0.9454250899810717,-0.28938237443350195,-3280.2135777378503
30,-0.8808924296859977,-0.2841809630011917,-2983.5573334240285
31,-0.820316711758625,-0.2896318361582779,-2653.424378001736
32,-0.7850063282511802,-0.29112398616079627,-2469.41171045192
33,-0.7568852389807619,-0.28470788317893886,-2360.886779009116
34,-0.7168819887211602,-0.2800178160718449,-2184.320863246579
35,-0.7045020016322974,-0.2830177935593392,-2107.4210403647903
36,-0.6756119142565267,-0.2814666863580175,-1970.7261394925454
37,-0.6405666309066078,-0.2807423523444591,-1799.1213928107413
38,-0.6690985488459694,-0.28864605363282936,-1902.2624760657004
39,-0.5673005249762436,-0.27147941002052667,-1479.1055747785838
40,-0.566708747026524,-0.2953962006232229,-1356.5627320165063
41,-0.5357486968262155,-0.27792792346487066,-1289.1038668067238
42,-0.5313362220364314,-0.2891027604282908,-1211.167308040702
43,-0.5138423627115607,-0.2789692466485915,-1174.3655803148465
44,-0.497809156247409,-0.28658841125782936,-1056.1037249478973
45,-0.5082001082842023,-0.28803573038255104,-1100.8218895082566
46,-0.5081942745418794,-0.28851426897590793,-1098.4000278298581
47,-0.4607078146665862,-0.27428993106020316,-932.0894180319142
48,-0.4458658984071882,-0.268709124522876,-885.7838694215612
49,-0.4472482646779292,-0.2825011878448688,-823.7353841653018
50,-0.43524495886945824,-0.2818695658599673,-766.876965047455
51,-0.4354226842356955,-0.29233884108007435,-715.4192157781061
52,-0.4120373295656316,-0.2793103763319824,-663.6347661682462
53,-0.42108282554594045,-0.293813993853094,-636.3441584642311
54,-0.40536774541564646,-0.28773131551642583,-588.182149496103
55,-0.39492283779844845,-0.2874678613134262,-537.2748824251106
