epoch,episode_return_mean,episode_return_median,avg_epoch_reward,avg_green_reward,avg_wait_reward,carbon_cost_mean,latency_mean,policy_loss_clipped,policy_loss_unclipped,entropy,approx_kl,clip_fraction,value_loss,explained_variance,adv_mean,adv_std,validation_avg_total_reward,validation_avg_green_reward,validation_avg_wait_reward,validation_std_total_reward,validation_median_total_reward,validation_avg_episode_length
1,-4.831794983433493,-4.831794983433485,-4.831794983433485,-4.8264475408667735,-26.73721283355172,-4.826447540866766,-26.73721283355172,-0.0033306918921880424,-0.0033306918921880424,1.695771235972643,0.0006546314978095324,0.01264512807392748,56.47707960009575,-0.0009637493640184402,-7.653032302856445,3.613438367843628,,,,,,
2,-4.5434631376670005,-4.543463137666991,-4.543463137666991,-4.537640533369931,-29.113021485301434,-4.537640533369937,-29.113021485301434,-0.003470436866336968,-0.003470436866336968,1.7117383759468794,0.0010909069600586463,0.014270019601099193,16.539118364453316,0.03852786868810654,1.1161633729934692,3.1366190910339355,,,,,,
3,-4.866945194044786,-4.866945194044794,-4.866945194044794,-4.861515842758411,-27.14675643191578,-4.861515842758418,-27.14675643191578,-0.004817521703444072,-0.004817521703444072,1.641537070274353,0.002986416157000349,0.034690389802563004,9.694603566080332,0.4794025309383869,-0.4889427125453949,3.0631179809570312,,,,,,
4,-4.562406832701883,-4.56240683270189,-4.56240683270189,-4.5571284786664314,-26.391770177285192,-4.557128478666426,-26.391770177285192,0.0021376549783680174,0.0021376549783680174,1.6675706936253443,0.0005810860586481997,0.003945312462747097,6.217007839017445,0.7217719447281625,0.12865689396858215,1.9253243207931519,,,,,,
5,-4.417317733150113,-4.417317733150105,-4.417317733150105,-4.412243949870764,-25.368916396706553,-4.412243949870757,-25.368916396706553,-0.007364886599437644,-0.007364886599437644,1.6822006917662091,0.004420521309839387,0.025824652700167563,5.037296805116865,0.6024277226792442,0.9808603525161743,1.8070422410964966,,,,,,
6,-4.436176297507983,-4.436176297507983,-4.436176297507983,-4.430357494995899,-29.094012560418896,-4.430357494995905,-29.094012560418896,-0.0007313852741693457,-0.0007313852741693457,1.670539261566268,0.00011161154311088871,0.013685684935707185,5.050257033771938,0.7012050954831971,-0.050960689783096313,1.834831953048706,,,,,,
7,-4.779802101571189,-4.779802101571179,-4.779802101571179,-4.7731412614249855,-33.30420073095772,-4.773141261424993,-33.30420073095772,-0.00032077262747204967,-0.00032077262747204967,1.6968468526999156,0.005923625104413886,0.03326627244758937,6.953387207455105,0.7630822509527206,-0.03807765245437622,2.014226198196411,,,,,,
8,-4.833046787775898,-4.833046787775888,-4.833046787775888,-4.827916775083399,-25.650063462441214,-4.827916775083396,-25.650063462441214,-0.00714302344406153,-0.00714302344406153,1.6786092784669664,0.007403433384347914,0.06038411475795632,7.3997037741873,0.7168695487909846,0.3071725368499756,2.0856826305389404,,,,,,
9,-4.487898020714071,-4.487898020714079,-4.487898020714079,-4.482050644101736,-29.23688306172041,-4.482050644101731,-29.23688306172041,-0.017828615085454656,-0.017828615085454656,1.621696688234806,0.004011098928458523,0.006787109375,4.549743685871363,0.7722548373043537,0.213124617934227,1.733606219291687,,,,,,
10,-4.878223227059781,-4.878223227059791,-4.878223227059791,-4.871994798012361,-31.142145237137907,-4.871994798012352,-31.142145237137907,0.0010531233914662153,0.0010531233914662153,1.6903004392981529,0.005872389001888223,0.060946116736158726,5.291762575507164,0.7681650556623936,-0.55905681848526,1.747200846672058,,,,,,
11,-4.870493332944689,-4.870493332944678,-4.870493332944678,-4.863998867193602,-32.47232875537955,-4.863998867193614,-32.47232875537955,-0.0010226209149550413,-0.0010226209149550413,1.6884272217750549,0.002648237536232045,0.016219905903562905,6.662652093172073,0.701415340602398,0.08170530945062637,2.057169198989868,,,,,,
12,-4.504957253264705,-4.504957253264705,-4.504957253264705,-4.49943242194955,-27.624156575773096,-4.49943242194956,-27.624156575773096,-0.0022572455345652997,-0.0022572455345652997,1.6516235023736954,0.004139949289310607,0.016501913248794152,5.290327814221382,0.7548105388879776,-0.3611947000026703,1.7104623317718506,,,,,,
13,-4.606361083512355,-4.606361083512355,-4.606361083512355,-4.600414530744659,-29.732763838480587,-4.600414530744668,-29.732763838480587,-0.002359571189365604,-0.002359571189365604,1.6794915890151805,0.0008776716051877222,0.02457157251509753,3.8358072232116354,0.7957780286669731,-0.1238643005490303,1.458463191986084,,,,,,
14,-4.76317534824858,-4.763175348248577,-4.763175348248577,-4.757129072938531,-30.231376550228354,-4.757129072938537,-30.231376550228354,-0.002875596126118167,-0.002875596126118167,1.7157581773671238,0.003723095874937082,0.023007008416408844,6.243730425834656,0.7091862965713848,-0.24080923199653625,1.840780258178711,,,,,,
1,-4.977482398813367,-4.977482398813361,-4.977482398813361,-4.9723672407726305,-25.575790203655007,-4.972367240772641,-25.575790203655007,0.005602956574875861,0.005602956574875861,1.6740538775920868,0.0007965751467509108,0.0,69.81793215870857,7.148832082748413e-06,-7.856252670288086,4.10546350479126,,,,,,
2,-4.235112435037596,-4.235112435037604,-4.235112435037604,-4.229212814178264,-29.498104296704323,-4.229212814178258,-29.498104296704323,0.0018705927844469745,0.0018705927844469745,1.7255852454238467,0.0015336151870239216,0.0042032163797153365,15.853223509258694,0.030365443891949125,1.2224692106246948,3.0207204818725586,,,,,,
3,-4.444582381190985,-4.444582381190995,-4.444582381190995,-4.438393562675873,-30.944092575612295,-4.438393562675868,-30.944092575612295,-0.0028182912048780257,-0.0028182912048780257,1.7028615938292608,0.0021202479534218176,5.425347222222222e-05,10.98908159467909,0.41035479969448513,-0.23343195021152496,3.0816290378570557,,,,,,
4,-4.932472016783961,-4.93247201678397,-4.93247201678397,-4.9261677586275905,-31.521290781897836,-4.9261677586275825,-31.521290781897836,-0.0003453995523159392,-0.0003453995523159392,1.6677572429180145,0.0006664633013997445,0.0,8.733848661184311,0.6669567292556167,-0.1123204231262207,2.231081962585449,,,,,,
