epoch,episode_return_mean,episode_return_median,avg_epoch_reward,avg_green_reward,avg_wait_reward,carbon_cost_mean,latency_mean,policy_loss_clipped,policy_loss_unclipped,entropy,approx_kl,clip_fraction,value_loss,explained_variance,adv_mean,adv_std,validation_avg_total_reward,validation_avg_green_reward,validation_avg_wait_reward,validation_std_total_reward,validation_median_total_reward,validation_avg_episode_length
1,-5.049934031487964,-5.0499340314879575,-5.0499340314879575,-5.045268364796782,-23.328333455889698,-5.045268364796769,-23.328333455889698,-0.004768058373883832,-0.004768058373883832,1.6688974015414715,-8.562283255741931e-07,0.028570660011610016,70.33583590388298,0.00503171980381012,-7.767283916473389,4.15849494934082,,,,,,
2,-5.229034437764302,-5.229034437764296,-5.229034437764296,-5.224028783801661,-25.028269813184902,-5.224028783801658,-25.028269813184902,0.002106568336279856,0.002106568336279856,1.6804762019051447,0.0049970065075386726,0.04267282204495536,26.87862163119846,0.08066075295209885,-0.38021889328956604,4.034742832183838,,,,,,
3,-4.621628746856515,-4.621628746856512,-4.621628746856512,-4.616609213463659,-25.097666964264853,-4.616609213463664,-25.097666964264853,-0.004352154947506885,-0.004352154947506885,1.6690063956711028,0.0036419611990115503,0.024143295168566208,8.007678561740452,0.572625065015422,0.7471290826797485,2.7146856784820557,,,,,,
4,-4.736839229804487,-4.73683922980448,-4.73683922980448,-4.7317746899513935,-25.322699265439123,-4.731774689951404,-25.322699265439123,-0.00031749173083678924,-0.00031749173083678924,1.7140355540646448,0.002591229356565034,6.490134789297979e-05,6.282449861367543,0.6169998347759247,-0.4557136297225952,1.8754279613494873,,,,,,
5,-4.587372616972986,-4.587372616972996,-4.587372616972996,-4.582480280441135,-24.461682659282424,-4.582480280441133,-24.461682659282424,-0.0003072135732509196,-0.0003072135732509196,1.6900901860660977,0.0013312564689032217,0.011554195998340018,6.413628823227352,0.6272896279891332,0.11220914125442505,1.9473379850387573,,,,,,
6,-4.677467376433011,-4.677467376433007,-4.677467376433007,-4.671172167909038,-31.476042619836974,-4.671172167909045,-31.476042619836974,0.006828017515363172,0.006828017515363172,1.6450251653790473,0.003956077709881356,0.04220377616584301,5.006237885355949,0.7524291895329952,-0.12335560470819473,1.7316083908081055,,,,,,
7,-4.621774569227781,-4.621774569227771,-4.621774569227771,-4.615644905424902,-30.648319014363675,-4.615644905424912,-30.648319014363675,0.02142139906063676,0.02142139906063676,1.6820313811302186,0.004315645678434521,0.019384765625,5.148510883748531,0.3153113014996052,0.36806464195251465,1.7123392820358276,,,,,,
8,-4.563283683274791,-4.563283683274795,-4.563283683274795,-4.557846706364836,-27.184884549789896,-4.557846706364841,-27.184884549789896,-0.0060367142548784615,-0.0060367142548784615,1.651724675297737,0.007915623745066113,0.05601010522805154,6.4635532885789875,0.7137334465980529,0.5589266419410706,1.9137322902679443,,,,,,
9,-4.564768169538755,-4.564768169538763,-4.564768169538763,-4.558220760178121,-32.73704680322107,-4.558220760178127,-32.73704680322107,-0.0035704158653970808,-0.0035704158653970808,1.685732540488243,0.002609673079859931,0.014543805818539113,4.893467873334885,0.7365810580551624,0.21261881291866302,1.6992815732955933,,,,,,
10,-4.7692903847476344,-4.769290384747626,-4.769290384747626,-4.76231539739009,-34.87493678767931,-4.762315397390083,-34.87493678767931,-0.0023772148738822173,-0.0023772148738822173,1.6876306451029248,0.002456993004064619,0.001736111111111111,4.396394911739561,0.7090343079633183,-0.014804334379732609,1.6201229095458984,,,,,,
